Google maps href,empresa_nombre_bruto,Estrella,Reseña,categoria_sugerida,direccion_bruta,Sitio Web,telefono_bruto
https://www.google.com/maps/place/CCP+CONSTRUCTORES+CIVILES+DE+LA+PEN%C3%8DNSULA/data=!4m7!3m6!1s0x8f5674077c491caf:0x34e4677f4488a52a!8m2!3d20.998166!4d-89.629732!16s%2Fg%2F1td0zjmp!19sChIJrxxJfAd0Vo8RKqWIRH9n5DQ?authuser=0&hl=es&rclk=1,CCP CONSTRUCTORES CIVILES DE LA PENÍNSULA,"4,0",-10,Constructor de casas personalizadas,"B Y 41-A, Calle 12, C. 30 No. 378 X 39",Cómo llegar,999 920 1404
https://www.google.com/maps/place/Bau+Inmobiliaria/data=!4m7!3m6!1s0x8f5677be4459ef77:0xc59694a8da80fa57!8m2!3d21.0376907!4d-89.6160501!16s%2Fg%2F11lyrpzqz9!19sChIJd-9ZRL53Vo8RV_qA2qiUlsU?authuser=0&hl=es&rclk=1,Bau Inmobiliaria,"5,0",-10,Urbanización,·,Sitio web,999 183 4837
https://www.google.com/maps/place/Constructora+Proser/data=!4m7!3m6!1s0x8f56713b1f33267d:0x16733af5ab004826!8m2!3d21.0277183!4d-89.5944988!16s%2Fg%2F1td0tyys!19sChIJfSYzHztxVo8RJkgAq_U6cxY?authuser=0&hl=es&rclk=1,Constructora Proser,"4,7",-108,Empresa constructora,·,Sitio web,999 944 4544
https://www.google.com/maps/place/EFICON/data=!4m7!3m6!1s0x8f56777e815a02d9:0xeac90572e1215b28!8m2!3d21.0218347!4d-89.600651!16s%2Fg%2F11mb23s0kn!19sChIJ2QJagX53Vo8RKFsh4XIFyeo?authuser=0&hl=es&rclk=1,EFICON,"4,6",-36,Constructor,C. 18 #494,Sitio web,999 289 7390
https://www.google.com/maps/place/Constructora+de+Vivienda/data=!4m7!3m6!1s0x89bc0dd64b40945f:0x6d18eff0802e3c93!8m2!3d20.9937936!4d-89.6258614!16s%2Fg%2F11vpkqngxj!19sChIJX5RAS9YNvIkRkzwugPDvGG0?authuser=0&hl=es&rclk=1,Constructora de Vivienda,,,Constructor,·,Sitio web,999 738 7000
https://www.google.com/maps/place/Ingenier%C3%ADa+Alternativa+S.A.+de+C.V./data=!4m7!3m6!1s0x8f56736dbb7320a1:0x290defb381b4c5!8m2!3d21.0023438!4d-89.6463081!16s%2Fg%2F1tg_h36h!19sChIJoSBzu21zVo8RxbSBs-8NKQA?authuser=0&hl=es&rclk=1,Ingeniería Alternativa S.A. de C.V.,"4,5",-11,Empresa constructora,C. 20 253,Sitio web,999 987 3038
https://www.google.com/maps/place/arquicon/data=!4m7!3m6!1s0x8f5675dc71823be5:0x4bb1fcfdb5932673!8m2!3d21.0619904!4d-89.6511275!16s%2Fg%2F11nwxg87jz!19sChIJ5TuCcdx1Vo8RcyaTtf38sUs?authuser=0&hl=es&rclk=1,arquicon,"4,8",-4,Empresa constructora,calle 63 g x 84 y 88 tablaje 40375 dzitya,Cómo llegar,999 390 3155
https://www.google.com/maps/place/INGENER%C3%8DA+DEL+MAYAB/data=!4m7!3m6!1s0x8f5676aa4ee0167d:0x410f81650e21d427!8m2!3d21.0018236!4d-89.623283!16s%2Fg%2F11bccjppjq!19sChIJfRbgTqp2Vo8RJ9QhDmWBD0E?authuser=0&hl=es&rclk=1,INGENERÍA DEL MAYAB,"5,0",-10,Empresa constructora,"Por calle 60 NTE Calle 35 36, Chuburna de Hidalgo",Cómo llegar,999 927 7887
https://www.google.com/maps/place/JL+dise%C3%B1o+y+construcci%C3%B3n+S.A.+de+C.V./data=!4m7!3m6!1s0x8f5676a8ee3ef551:0x71c7ee2c7a625756!8m2!3d21.0079688!4d-89.6221442!16s%2Fg%2F11h0nsk0h!19sChIJUfU-7qh2Vo8RVldieizux3E?authuser=0&hl=es&rclk=1,JL diseño y construcción S.A. de C.V.,"5,0",-7,Arquitecto,C. 11? 320,Cómo llegar,999 944 7931
https://www.google.com/maps/place/Grupo+Marmol+Construcciones+Sa+De+Cv/data=!4m7!3m6!1s0x8f5673cf9c719fb3:0x6281d89853fd81b2!8m2!3d21.0610226!4d-89.6474297!16s%2Fg%2F1tn06vyc!19sChIJs59xnM9zVo8RsoH9U5jYgWI?authuser=0&hl=es&rclk=1,Grupo Marmol Construcciones Sa De Cv,"5,0",-1,Contratista de excavación,C. 78 431,Cómo llegar,999 926 1516
https://www.google.com/maps/place/Opresa/data=!4m7!3m6!1s0x8f5676b48b549ca1:0xe3469625d0cb4a50!8m2!3d21.0004429!4d-89.6099682!16s%2Fg%2F1tmz7_7m!19sChIJoZxUi7R2Vo8RUErL0CWWRuM?authuser=0&hl=es&rclk=1,Opresa,"4,6",-60,Empresa constructora,·,Sitio web,999 925 2554
https://www.google.com/maps/place/N%2BN+CONSTRUCTORA/data=!4m7!3m6!1s0x8f567148b59ace03:0xca08700a91b6df11!8m2!3d21.0124333!4d-89.6085548!16s%2Fg%2F1q4kmzwzn!19sChIJA86atUhxVo8REd-2kQpwCMo?authuser=0&hl=es&rclk=1,N+N CONSTRUCTORA,"5,0",-6,Constructor,Av. Libano,Sitio web,999 938 0454
